,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
46,"green lizard, Lacerta viridis",tensor(0.7428),0.9,0.42857143,0.5294118,0.36,0.9996797
47,"African chameleon, Chamaeleo chamaeleon",tensor(0.7428),0.92,0.82,0.82,0.82,0.9998198
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",tensor(0.7428),0.98,0.9108911,0.9019608,0.92,0.9998999
49,"African crocodile, Nile crocodile, Crocodylus niloticus",tensor(0.7428),0.84,0.7070707,0.71428573,0.7,0.99971974
50,"American alligator, Alligator mississipiensis",tensor(0.7428),0.88,0.73170733,0.9375,0.6,0.99995995
51,triceratops,tensor(0.7428),0.9,0.9072165,0.9361702,0.88,0.9999399
52,"thunder snake, worm snake, Carphophis amoenus",tensor(0.7428),0.92,0.71929824,0.640625,0.82,0.99953955
53,"ringneck snake, ring-necked snake, ring snake",tensor(0.7428),0.94,0.7850467,0.7368421,0.84,0.9996997
54,"hognose snake, puff adder, sand viper",tensor(0.7428),0.88,0.6823529,0.82857144,0.58,0.9998799
55,"green snake, grass snake",tensor(0.7428),0.94,0.5641026,0.78571427,0.44,0.9998799
56,"king snake, kingsnake",tensor(0.7428),0.88,0.83146065,0.94871795,0.74,0.99995995
57,"garter snake, grass snake",tensor(0.7428),0.98,0.82474226,0.85106385,0.8,0.99985987
58,water snake,tensor(0.7428),0.88,0.6,0.6,0.6,0.9995996
59,vine snake,tensor(0.7428),0.84,0.7058824,0.6923077,0.72,0.9996797
60,"night snake, Hypsiglena torquata",tensor(0.7428),0.82,0.33333334,0.375,0.3,0.9994995
61,"boa constrictor, Constrictor constrictor",tensor(0.7428),0.96,0.79999995,0.84444445,0.76,0.99985987
62,"rock python, rock snake, Python sebae",tensor(0.7428),0.72,0.6373626,0.70731705,0.58,0.99975973
63,"Indian cobra, Naja naja",tensor(0.7428),0.98,0.7692308,0.7407407,0.8,0.99971974
64,green mamba,tensor(0.7428),0.92,0.64912283,0.578125,0.74,0.99945945
65,sea snake,tensor(0.7428),0.92,0.7916667,0.82608694,0.76,0.99983984
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",tensor(0.7428),0.9,0.5423729,0.47058824,0.64,0.99927926
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",tensor(0.7428),0.84,0.6363636,0.7368421,0.56,0.9997998
68,"sidewinder, horned rattlesnake, Crotalus cerastes",tensor(0.7428),0.92,0.35955054,0.41025642,0.32,0.99953955
